图片名,分辨率1,分辨率2,相似性检验结果
Narrenmuehle_ZH-CN5582540867,768x1280,1920x1080,0.776527
Narrenmuehle_ZH-CN5582540867,768x1280,1366x768,0.720142
Narrenmuehle_ZH-CN5582540867,768x1280,1280x768,0.793931
Narrenmuehle_ZH-CN5582540867,768x1280,1024x768,0.288264
Narrenmuehle_ZH-CN5582540867,768x1280,800x600,0.469492
Narrenmuehle_ZH-CN5582540867,768x1280,800x480,0.51643
Narrenmuehle_ZH-CN5582540867,768x1280,768x1280,1
Narrenmuehle_ZH-CN5582540867,768x1280,720x1280,0.994265
Narrenmuehle_ZH-CN5582540867,768x1280,640x480,0.505481
Narrenmuehle_ZH-CN5582540867,768x1280,480x800,0.578413
Narrenmuehle_ZH-CN5582540867,768x1280,400x240,0.577864
Narrenmuehle_ZH-CN5582540867,768x1280,320x240,0.595266
Narrenmuehle_ZH-CN5582540867,768x1280,240x320,0.628363
LeatherbackTT_ZH-CN5495532728,800x480,1920x1080,0.950587
LeatherbackTT_ZH-CN5495532728,800x480,1366x768,0.967051
LeatherbackTT_ZH-CN5495532728,800x480,1280x768,0.968873
LeatherbackTT_ZH-CN5495532728,800x480,1024x768,0.930666
LeatherbackTT_ZH-CN5495532728,800x480,800x600,0.946973
LeatherbackTT_ZH-CN5495532728,800x480,800x480,1
LeatherbackTT_ZH-CN5495532728,800x480,768x1280,0.934249
LeatherbackTT_ZH-CN5495532728,800x480,720x1280,0.932502
LeatherbackTT_ZH-CN5495532728,800x480,640x480,0.949517
LeatherbackTT_ZH-CN5495532728,800x480,320x240,0.942266
LeatherbackTT_ZH-CN5495532728,800x480,240x320,0.858699
GodsGarden_ZH-CN3317703606,768x1280,1920x1080,0.691356
GodsGarden_ZH-CN3317703606,768x1280,1366x768,0.659212
GodsGarden_ZH-CN3317703606,768x1280,1280x768,0.659621
GodsGarden_ZH-CN3317703606,768x1280,1024x768,0.721138
GodsGarden_ZH-CN3317703606,768x1280,800x600,0.745137
GodsGarden_ZH-CN3317703606,768x1280,800x480,0.605506
GodsGarden_ZH-CN3317703606,768x1280,768x1280,1
GodsGarden_ZH-CN3317703606,768x1280,720x1280,0.99524
GodsGarden_ZH-CN3317703606,768x1280,640x480,0.740695
GodsGarden_ZH-CN3317703606,768x1280,480x800,0.919035
GodsGarden_ZH-CN3317703606,768x1280,400x240,0.593496
GodsGarden_ZH-CN3317703606,768x1280,320x240,0.723211
GodsGarden_ZH-CN3317703606,768x1280,240x320,0.864455
MiquelonPanorama_ZH-CN3614818937,768x1280,1920x1080,0.895748
MiquelonPanorama_ZH-CN3614818937,768x1280,1366x768,0.529255
MiquelonPanorama_ZH-CN3614818937,768x1280,1280x768,0.512464
MiquelonPanorama_ZH-CN3614818937,768x1280,1024x768,0.50873
MiquelonPanorama_ZH-CN3614818937,768x1280,800x600,0.675253
MiquelonPanorama_ZH-CN3614818937,768x1280,800x480,0.685004
MiquelonPanorama_ZH-CN3614818937,768x1280,768x1280,1
MiquelonPanorama_ZH-CN3614818937,768x1280,720x1280,0.999235
MiquelonPanorama_ZH-CN3614818937,768x1280,640x480,0.747791
MiquelonPanorama_ZH-CN3614818937,768x1280,480x800,0.413706
MiquelonPanorama_ZH-CN3614818937,768x1280,400x240,0.887252
MiquelonPanorama_ZH-CN3614818937,768x1280,320x240,0.778194
MiquelonPanorama_ZH-CN3614818937,768x1280,240x320,0.78168
BuckinghamSummer_ZH-CN3519250117,768x1280,1920x1080,0.891719
BuckinghamSummer_ZH-CN3519250117,768x1280,1366x768,0.909609
BuckinghamSummer_ZH-CN3519250117,768x1280,1280x768,0.926249
BuckinghamSummer_ZH-CN3519250117,768x1280,1024x768,0.888702
BuckinghamSummer_ZH-CN3519250117,768x1280,800x600,0.916591
BuckinghamSummer_ZH-CN3519250117,768x1280,800x480,0.943083
BuckinghamSummer_ZH-CN3519250117,768x1280,768x1280,1
BuckinghamSummer_ZH-CN3519250117,768x1280,720x1280,0.99699
BuckinghamSummer_ZH-CN3519250117,768x1280,640x480,0.918211
BuckinghamSummer_ZH-CN3519250117,768x1280,480x800,0.971053
BuckinghamSummer_ZH-CN3519250117,768x1280,400x240,0.930375
BuckinghamSummer_ZH-CN3519250117,768x1280,320x240,0.893938
BuckinghamSummer_ZH-CN3519250117,768x1280,240x320,0.947969
SardiniaHawkMoth_ZH-CN3672906054,800x480,1920x1080,0.958796
SardiniaHawkMoth_ZH-CN3672906054,800x480,1366x768,0.953578
SardiniaHawkMoth_ZH-CN3672906054,800x480,1280x768,0.961696
SardiniaHawkMoth_ZH-CN3672906054,800x480,1024x768,0.979306
SardiniaHawkMoth_ZH-CN3672906054,800x480,800x600,0.976014
SardiniaHawkMoth_ZH-CN3672906054,800x480,800x480,1
SardiniaHawkMoth_ZH-CN3672906054,800x480,768x1280,0.891631
SardiniaHawkMoth_ZH-CN3672906054,800x480,720x1280,0.881007
SardiniaHawkMoth_ZH-CN3672906054,800x480,640x480,0.977892
SardiniaHawkMoth_ZH-CN3672906054,800x480,480x800,0.907006
SardiniaHawkMoth_ZH-CN3672906054,800x480,400x240,0.997263
SardiniaHawkMoth_ZH-CN3672906054,800x480,320x240,0.972381
Skywalk_ZH-CN3725661090,768x1280,1366x768,0.660898
Skywalk_ZH-CN3725661090,768x1280,1280x768,0.692967
Skywalk_ZH-CN3725661090,768x1280,1024x768,0.798852
Skywalk_ZH-CN3725661090,768x1280,800x600,0.798136
Skywalk_ZH-CN3725661090,768x1280,800x480,0.775832
Skywalk_ZH-CN3725661090,768x1280,768x1280,1
Skywalk_ZH-CN3725661090,768x1280,720x1280,0.996634
Skywalk_ZH-CN3725661090,768x1280,640x480,0.796374
Skywalk_ZH-CN3725661090,768x1280,480x800,0.658007
Skywalk_ZH-CN3725661090,768x1280,400x240,0.76663
Skywalk_ZH-CN3725661090,768x1280,320x240,0.757805
Skywalk_ZH-CN3725661090,768x1280,240x320,0.622807
