图片1名,图片2名,分辨率,相似性检验结果
2019-07-17_Narrenmuehle_ZH-CN5582540867_1920x1080.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_1920x1080_Similarity.jpg,1920x1080,0.976344
2019-07-17_Narrenmuehle_ZH-CN5582540867_1366x768.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_1366x768_Similarity.jpg,1366x768,0.972016
2019-07-17_Narrenmuehle_ZH-CN5582540867_1280x768.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_1280x768_Similarity.jpg,1280x768,0.967105
2019-07-17_Narrenmuehle_ZH-CN5582540867_1024x768.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_1024x768_Similarity.jpg,1024x768,0.904652
2019-07-17_Narrenmuehle_ZH-CN5582540867_800x600.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_800x600_Similarity.jpg,800x600,0.959423
2019-07-17_Narrenmuehle_ZH-CN5582540867_800x480.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_800x480_Similarity.jpg,800x480,0.931466
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280_Similarity.jpg,768x1280,0.917102
2019-07-17_Narrenmuehle_ZH-CN5582540867_720x1280.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_720x1280_Similarity.jpg,720x1280,0.903945
2019-07-17_Narrenmuehle_ZH-CN5582540867_640x480.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_640x480_Similarity.jpg,640x480,0.941793
2019-07-17_Narrenmuehle_ZH-CN5582540867_480x800.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_480x800_Similarity.jpg,480x800,0.929363
2019-07-17_Narrenmuehle_ZH-CN5582540867_400x240.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_400x240_Similarity.jpg,400x240,0.78181
2019-07-17_Narrenmuehle_ZH-CN5582540867_320x240.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_320x240_Similarity.jpg,320x240,0.862322
2019-07-17_Narrenmuehle_ZH-CN5582540867_240x320.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_240x320_Similarity.jpg,240x320,0.867883
2019-07-18_LeatherbackTT_ZH-CN5495532728_1920x1080.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_1920x1080_Similarity.jpg,1920x1080,0.99019
2019-07-18_LeatherbackTT_ZH-CN5495532728_1366x768.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_1366x768_Similarity.jpg,1366x768,0.985371
2019-07-18_LeatherbackTT_ZH-CN5495532728_1280x768.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_1280x768_Similarity.jpg,1280x768,0.985049
2019-07-18_LeatherbackTT_ZH-CN5495532728_1024x768.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_1024x768_Similarity.jpg,1024x768,0.979591
2019-07-18_LeatherbackTT_ZH-CN5495532728_800x600.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_800x600_Similarity.jpg,800x600,0.977925
2019-07-18_LeatherbackTT_ZH-CN5495532728_800x480.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_800x480_Similarity.jpg,800x480,0.973724
2019-07-18_LeatherbackTT_ZH-CN5495532728_768x1280.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_768x1280_Similarity.jpg,768x1280,0.98824
2019-07-18_LeatherbackTT_ZH-CN5495532728_720x1280.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_720x1280_Similarity.jpg,720x1280,0.988002
2019-07-18_LeatherbackTT_ZH-CN5495532728_640x480.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_640x480_Similarity.jpg,640x480,0.965352
2019-07-18_LeatherbackTT_ZH-CN5495532728_320x240.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_320x240_Similarity.jpg,320x240,0.907175
2019-07-18_LeatherbackTT_ZH-CN5495532728_240x320.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_240x320_Similarity.jpg,240x320,0.898506
2019-07-19_GodsGarden_ZH-CN3317703606_1920x1080.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_1920x1080_Similarity.jpg,1920x1080,0.98027
2019-07-19_GodsGarden_ZH-CN3317703606_1366x768.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_1366x768_Similarity.jpg,1366x768,0.969071
2019-07-19_GodsGarden_ZH-CN3317703606_1280x768.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_1280x768_Similarity.jpg,1280x768,0.965262
2019-07-19_GodsGarden_ZH-CN3317703606_1024x768.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_1024x768_Similarity.jpg,1024x768,0.946603
2019-07-19_GodsGarden_ZH-CN3317703606_800x600.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_800x600_Similarity.jpg,800x600,0.927111
2019-07-19_GodsGarden_ZH-CN3317703606_800x480.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_800x480_Similarity.jpg,800x480,0.951061
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_768x1280_Similarity.jpg,768x1280,0.953649
2019-07-19_GodsGarden_ZH-CN3317703606_720x1280.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_720x1280_Similarity.jpg,720x1280,0.95718
2019-07-19_GodsGarden_ZH-CN3317703606_640x480.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_640x480_Similarity.jpg,640x480,0.903963
2019-07-19_GodsGarden_ZH-CN3317703606_480x800.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_480x800_Similarity.jpg,480x800,0.916904
2019-07-19_GodsGarden_ZH-CN3317703606_400x240.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_400x240_Similarity.jpg,400x240,0.837859
2019-07-19_GodsGarden_ZH-CN3317703606_320x240.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_320x240_Similarity.jpg,320x240,0.778048
2019-07-19_GodsGarden_ZH-CN3317703606_240x320.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_240x320_Similarity.jpg,240x320,0.726254
2019-07-20_MiquelonPanorama_ZH-CN3614818937_1920x1080.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_1920x1080_Similarity.jpg,1920x1080,0.969848
2019-07-20_MiquelonPanorama_ZH-CN3614818937_1366x768.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_1366x768_Similarity.jpg,1366x768,0.970401
2019-07-20_MiquelonPanorama_ZH-CN3614818937_1280x768.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_1280x768_Similarity.jpg,1280x768,0.981729
2019-07-20_MiquelonPanorama_ZH-CN3614818937_1024x768.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_1024x768_Similarity.jpg,1024x768,0.968857
2019-07-20_MiquelonPanorama_ZH-CN3614818937_800x600.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_800x600_Similarity.jpg,800x600,0.97576
2019-07-20_MiquelonPanorama_ZH-CN3614818937_800x480.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_800x480_Similarity.jpg,800x480,0.930214
2019-07-20_MiquelonPanorama_ZH-CN3614818937_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_768x1280_Similarity.jpg,768x1280,0.982744
2019-07-20_MiquelonPanorama_ZH-CN3614818937_720x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_720x1280_Similarity.jpg,720x1280,0.981018
2019-07-20_MiquelonPanorama_ZH-CN3614818937_640x480.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_640x480_Similarity.jpg,640x480,0.966526
2019-07-20_MiquelonPanorama_ZH-CN3614818937_480x800.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_480x800_Similarity.jpg,480x800,0.929662
2019-07-20_MiquelonPanorama_ZH-CN3614818937_400x240.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_400x240_Similarity.jpg,400x240,0.943829
2019-07-20_MiquelonPanorama_ZH-CN3614818937_320x240.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_320x240_Similarity.jpg,320x240,0.916723
2019-07-20_MiquelonPanorama_ZH-CN3614818937_240x320.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_240x320_Similarity.jpg,240x320,0.824752
2019-07-21_BuckinghamSummer_ZH-CN3519250117_1920x1080.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_1920x1080_Similarity.jpg,1920x1080,0.985089
2019-07-21_BuckinghamSummer_ZH-CN3519250117_1366x768.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_1366x768_Similarity.jpg,1366x768,0.977627
2019-07-21_BuckinghamSummer_ZH-CN3519250117_1280x768.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_1280x768_Similarity.jpg,1280x768,0.976104
2019-07-21_BuckinghamSummer_ZH-CN3519250117_1024x768.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_1024x768_Similarity.jpg,1024x768,0.945066
2019-07-21_BuckinghamSummer_ZH-CN3519250117_800x600.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_800x600_Similarity.jpg,800x600,0.960139
2019-07-21_BuckinghamSummer_ZH-CN3519250117_800x480.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_800x480_Similarity.jpg,800x480,0.940222
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280_Similarity.jpg,768x1280,0.976262
2019-07-21_BuckinghamSummer_ZH-CN3519250117_720x1280.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_720x1280_Similarity.jpg,720x1280,0.979013
2019-07-21_BuckinghamSummer_ZH-CN3519250117_640x480.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_640x480_Similarity.jpg,640x480,0.929456
2019-07-21_BuckinghamSummer_ZH-CN3519250117_480x800.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_480x800_Similarity.jpg,480x800,0.942084
