图片名,图片名,分辨率1,分辨率2,相似性检验结果
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_1920x1080_Similarity.jpg,768x1280,1920x1080,0.726639
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_1366x768_Similarity.jpg,768x1280,1366x768,0.686252
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_1280x768_Similarity.jpg,768x1280,1280x768,0.76235
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_1024x768_Similarity.jpg,768x1280,1024x768,0.365389
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_800x600_Similarity.jpg,768x1280,800x600,0.48071
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_800x480_Similarity.jpg,768x1280,800x480,0.529693
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280_Similarity.jpg,768x1280,768x1280,0.917102
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_720x1280_Similarity.jpg,768x1280,720x1280,0.922254
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_640x480_Similarity.jpg,768x1280,640x480,0.487031
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_480x800_Similarity.jpg,768x1280,480x800,0.626935
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_400x240_Similarity.jpg,768x1280,400x240,0.426091
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_320x240_Similarity.jpg,768x1280,320x240,0.462626
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-17_Narrenmuehle_ZH-CN5582540867_240x320_Similarity.jpg,768x1280,240x320,0.542042
2019-07-18_LeatherbackTT_ZH-CN5495532728_800x480.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_1920x1080_Similarity.jpg,800x480,1920x1080,0.953309
2019-07-18_LeatherbackTT_ZH-CN5495532728_800x480.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_1366x768_Similarity.jpg,800x480,1366x768,0.956605
2019-07-18_LeatherbackTT_ZH-CN5495532728_800x480.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_1280x768_Similarity.jpg,800x480,1280x768,0.959345
2019-07-18_LeatherbackTT_ZH-CN5495532728_800x480.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_1024x768_Similarity.jpg,800x480,1024x768,0.921976
2019-07-18_LeatherbackTT_ZH-CN5495532728_800x480.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_800x600_Similarity.jpg,800x480,800x600,0.935459
2019-07-18_LeatherbackTT_ZH-CN5495532728_800x480.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_800x480_Similarity.jpg,800x480,800x480,0.973724
2019-07-18_LeatherbackTT_ZH-CN5495532728_800x480.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_768x1280_Similarity.jpg,800x480,768x1280,0.909656
2019-07-18_LeatherbackTT_ZH-CN5495532728_800x480.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_720x1280_Similarity.jpg,800x480,720x1280,0.907331
2019-07-18_LeatherbackTT_ZH-CN5495532728_800x480.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_640x480_Similarity.jpg,800x480,640x480,0.905751
2019-07-18_LeatherbackTT_ZH-CN5495532728_800x480.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_320x240_Similarity.jpg,800x480,320x240,0.865224
2019-07-18_LeatherbackTT_ZH-CN5495532728_800x480.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_240x320_Similarity.jpg,800x480,240x320,0.778733
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_1920x1080_Similarity.jpg,768x1280,1920x1080,0.697619
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_1366x768_Similarity.jpg,768x1280,1366x768,0.64564
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_1280x768_Similarity.jpg,768x1280,1280x768,0.63251
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_1024x768_Similarity.jpg,768x1280,1024x768,0.734612
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_800x600_Similarity.jpg,768x1280,800x600,0.731806
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_800x480_Similarity.jpg,768x1280,800x480,0.592676
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_768x1280_Similarity.jpg,768x1280,768x1280,0.953649
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_720x1280_Similarity.jpg,768x1280,720x1280,0.957368
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_640x480_Similarity.jpg,768x1280,640x480,0.703952
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_480x800_Similarity.jpg,768x1280,480x800,0.852223
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_400x240_Similarity.jpg,768x1280,400x240,0.51727
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_320x240_Similarity.jpg,768x1280,320x240,0.572227
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-19_GodsGarden_ZH-CN3317703606_240x320_Similarity.jpg,768x1280,240x320,0.643358
2019-07-20_MiquelonPanorama_ZH-CN3614818937_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_1920x1080_Similarity.jpg,768x1280,1920x1080,0.929562
2019-07-20_MiquelonPanorama_ZH-CN3614818937_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_1366x768_Similarity.jpg,768x1280,1366x768,0.566983
2019-07-20_MiquelonPanorama_ZH-CN3614818937_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_1280x768_Similarity.jpg,768x1280,1280x768,0.552658
2019-07-20_MiquelonPanorama_ZH-CN3614818937_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_1024x768_Similarity.jpg,768x1280,1024x768,0.560057
2019-07-20_MiquelonPanorama_ZH-CN3614818937_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_800x600_Similarity.jpg,768x1280,800x600,0.674343
2019-07-20_MiquelonPanorama_ZH-CN3614818937_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_800x480_Similarity.jpg,768x1280,800x480,0.723627
2019-07-20_MiquelonPanorama_ZH-CN3614818937_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_768x1280_Similarity.jpg,768x1280,768x1280,0.982744
2019-07-20_MiquelonPanorama_ZH-CN3614818937_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_720x1280_Similarity.jpg,768x1280,720x1280,0.979919
2019-07-20_MiquelonPanorama_ZH-CN3614818937_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_640x480_Similarity.jpg,768x1280,640x480,0.670708
2019-07-20_MiquelonPanorama_ZH-CN3614818937_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_480x800_Similarity.jpg,768x1280,480x800,0.452439
2019-07-20_MiquelonPanorama_ZH-CN3614818937_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_400x240_Similarity.jpg,768x1280,400x240,0.883874
2019-07-20_MiquelonPanorama_ZH-CN3614818937_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_320x240_Similarity.jpg,768x1280,320x240,0.641662
2019-07-20_MiquelonPanorama_ZH-CN3614818937_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_240x320_Similarity.jpg,768x1280,240x320,0.630916
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_1920x1080_Similarity.jpg,768x1280,1920x1080,0.885999
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_1366x768_Similarity.jpg,768x1280,1366x768,0.88754
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_1280x768_Similarity.jpg,768x1280,1280x768,0.897081
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_1024x768_Similarity.jpg,768x1280,1024x768,0.860392
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_800x600_Similarity.jpg,768x1280,800x600,0.877236
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_800x480_Similarity.jpg,768x1280,800x480,0.872692
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280_Similarity.jpg,768x1280,768x1280,0.976262
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_720x1280_Similarity.jpg,768x1280,720x1280,0.977996
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_640x480_Similarity.jpg,768x1280,640x480,0.836559
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_480x800_Similarity.jpg,768x1280,480x800,0.933347
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_400x240_Similarity.jpg,768x1280,400x240,0.678854
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_320x240_Similarity.jpg,768x1280,320x240,0.602529
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_240x320_Similarity.jpg,768x1280,240x320,0.861827
2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_800x480.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_1920x1080_Similarity.jpg,800x480,1920x1080,0.93737
2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_800x480.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_1366x768_Similarity.jpg,800x480,1366x768,0.938875
2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_800x480.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_1280x768_Similarity.jpg,800x480,1280x768,0.945704
2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_800x480.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_1024x768_Similarity.jpg,800x480,1024x768,0.945165
2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_800x480.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_800x600_Similarity.jpg,800x480,800x600,0.937542
2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_800x480.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_800x480_Similarity.jpg,800x480,800x480,0.976634
2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_800x480.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_768x1280_Similarity.jpg,800x480,768x1280,0.908526
2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_800x480.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_720x1280_Similarity.jpg,800x480,720x1280,0.904333
2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_800x480.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_640x480_Similarity.jpg,800x480,640x480,0.919598
2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_800x480.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_480x800_Similarity.jpg,800x480,480x800,0.905934
2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_800x480.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_400x240_Similarity.jpg,800x480,400x240,0.935193
2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_800x480.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_320x240_Similarity.jpg,800x480,320x240,0.777667
2019-07-23_Skywalk_ZH-CN3725661090_768x1280.jpg,2019-07-23_Skywalk_ZH-CN3725661090_1366x768_Similarity.jpg,768x1280,1366x768,0.646784
2019-07-23_Skywalk_ZH-CN3725661090_768x1280.jpg,2019-07-23_Skywalk_ZH-CN3725661090_1280x768_Similarity.jpg,768x1280,1280x768,0.647165
2019-07-23_Skywalk_ZH-CN3725661090_768x1280.jpg,2019-07-23_Skywalk_ZH-CN3725661090_1024x768_Similarity.jpg,768x1280,1024x768,0.794511
2019-07-23_Skywalk_ZH-CN3725661090_768x1280.jpg,2019-07-23_Skywalk_ZH-CN3725661090_800x600_Similarity.jpg,768x1280,800x600,0.79384
2019-07-23_Skywalk_ZH-CN3725661090_768x1280.jpg,2019-07-23_Skywalk_ZH-CN3725661090_800x480_Similarity.jpg,768x1280,800x480,0.715667
2019-07-23_Skywalk_ZH-CN3725661090_768x1280.jpg,2019-07-23_Skywalk_ZH-CN3725661090_768x1280_Similarity.jpg,768x1280,768x1280,0.982614
2019-07-23_Skywalk_ZH-CN3725661090_768x1280.jpg,2019-07-23_Skywalk_ZH-CN3725661090_720x1280_Similarity.jpg,768x1280,720x1280,0.986047
2019-07-23_Skywalk_ZH-CN3725661090_768x1280.jpg,2019-07-23_Skywalk_ZH-CN3725661090_640x480_Similarity.jpg,768x1280,640x480,0.72191
2019-07-23_Skywalk_ZH-CN3725661090_768x1280.jpg,2019-07-23_Skywalk_ZH-CN3725661090_480x800_Similarity.jpg,768x1280,480x800,0.599775
2019-07-23_Skywalk_ZH-CN3725661090_768x1280.jpg,2019-07-23_Skywalk_ZH-CN3725661090_400x240_Similarity.jpg,768x1280,400x240,0.634081
2019-07-23_Skywalk_ZH-CN3725661090_768x1280.jpg,2019-07-23_Skywalk_ZH-CN3725661090_320x240_Similarity.jpg,768x1280,320x240,0.65818
2019-07-23_Skywalk_ZH-CN3725661090_768x1280.jpg,2019-07-23_Skywalk_ZH-CN3725661090_240x320_Similarity.jpg,768x1280,240x320,0.574485
2019-07-24_MeerkatMob_ZH-CN3788674757_768x1280.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_1920x1080_Similarity.jpg,768x1280,1920x1080,0.91304
2019-07-24_MeerkatMob_ZH-CN3788674757_768x1280.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_1366x768_Similarity.jpg,768x1280,1366x768,0.911538
2019-07-24_MeerkatMob_ZH-CN3788674757_768x1280.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_1280x768_Similarity.jpg,768x1280,1280x768,0.929007
2019-07-24_MeerkatMob_ZH-CN3788674757_768x1280.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_1024x768_Similarity.jpg,768x1280,1024x768,0.910749
2019-07-24_MeerkatMob_ZH-CN3788674757_768x1280.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_800x600_Similarity.jpg,768x1280,800x600,0.925468
2019-07-24_MeerkatMob_ZH-CN3788674757_768x1280.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_800x480_Similarity.jpg,768x1280,800x480,0.937707
2019-07-24_MeerkatMob_ZH-CN3788674757_768x1280.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_768x1280_Similarity.jpg,768x1280,768x1280,0.987004
2019-07-24_MeerkatMob_ZH-CN3788674757_768x1280.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_720x1280_Similarity.jpg,768x1280,720x1280,0.98439
2019-07-24_MeerkatMob_ZH-CN3788674757_768x1280.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_640x480_Similarity.jpg,768x1280,640x480,0.905767
2019-07-24_MeerkatMob_ZH-CN3788674757_768x1280.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_480x800_Similarity.jpg,768x1280,480x800,0.949166
2019-07-24_MeerkatMob_ZH-CN3788674757_768x1280.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_400x240_Similarity.jpg,768x1280,400x240,0.843703
2019-07-24_MeerkatMob_ZH-CN3788674757_768x1280.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_320x240_Similarity.jpg,768x1280,320x240,0.79543
2019-07-24_MeerkatMob_ZH-CN3788674757_768x1280.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_240x320_Similarity.jpg,768x1280,240x320,0.877716
2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_768x1280.jpg,2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_1366x768_Similarity.jpg,768x1280,1366x768,0.806073
2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_768x1280.jpg,2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_1280x768_Similarity.jpg,768x1280,1280x768,0.805266
2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_768x1280.jpg,2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_1024x768_Similarity.jpg,768x1280,1024x768,0.654913
2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_768x1280.jpg,2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_800x600_Similarity.jpg,768x1280,800x600,0.716168
2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_768x1280.jpg,2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_800x480_Similarity.jpg,768x1280,800x480,0.73081
2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_768x1280.jpg,2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_768x1280_Similarity.jpg,768x1280,768x1280,0.964995
2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_768x1280.jpg,2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_720x1280_Similarity.jpg,768x1280,720x1280,0.952342
2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_768x1280.jpg,2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_640x480_Similarity.jpg,768x1280,640x480,0.658194
2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_768x1280.jpg,2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_480x800_Similarity.jpg,768x1280,480x800,0.732346
2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_768x1280.jpg,2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_400x240_Similarity.jpg,768x1280,400x240,0.643323
2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_768x1280.jpg,2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_320x240_Similarity.jpg,768x1280,320x240,0.599796
2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_768x1280.jpg,2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_240x320_Similarity.jpg,768x1280,240x320,0.736193
