图片1名,图片2名,分辨率1,分辨率2,相似性检验结果
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_1920x1080.jpg,768x1280,1920x1080,-0.0224219
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_1366x768.jpg,768x1280,1366x768,-0.02073
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_1280x768.jpg,768x1280,1280x768,-0.0202434
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_1024x768.jpg,768x1280,1024x768,-0.022553
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_800x600.jpg,768x1280,800x600,-0.0240505
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_800x480.jpg,768x1280,800x480,-0.0172773
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_768x1280.jpg,768x1280,768x1280,-0.0226213
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_720x1280.jpg,768x1280,720x1280,-0.0214386
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_640x480.jpg,768x1280,640x480,-0.0235601
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_320x240.jpg,768x1280,320x240,-0.0221237
2019-07-17_Narrenmuehle_ZH-CN5582540867_768x1280.jpg,2019-07-18_LeatherbackTT_ZH-CN5495532728_240x320.jpg,768x1280,240x320,-0.0228188
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_1920x1080.jpg,768x1280,1920x1080,0.185136
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_1366x768.jpg,768x1280,1366x768,0.178883
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_1280x768.jpg,768x1280,1280x768,0.174474
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_1024x768.jpg,768x1280,1024x768,0.14082
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_800x600.jpg,768x1280,800x600,0.162065
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_800x480.jpg,768x1280,800x480,0.202716
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_768x1280.jpg,768x1280,768x1280,0.17939
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_720x1280.jpg,768x1280,720x1280,0.179451
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_640x480.jpg,768x1280,640x480,0.166085
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_480x800.jpg,768x1280,480x800,0.142279
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_400x240.jpg,768x1280,400x240,0.165847
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_320x240.jpg,768x1280,320x240,0.158761
2019-07-19_GodsGarden_ZH-CN3317703606_768x1280.jpg,2019-07-20_MiquelonPanorama_ZH-CN3614818937_240x320.jpg,768x1280,240x320,0.171567
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_1920x1080.jpg,768x1280,1920x1080,0.0358576
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_1366x768.jpg,768x1280,1366x768,0.0337511
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_1280x768.jpg,768x1280,1280x768,0.033275
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_1024x768.jpg,768x1280,1024x768,0.0308096
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_800x600.jpg,768x1280,800x600,0.0318077
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_800x480.jpg,768x1280,800x480,0.036732
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_768x1280.jpg,768x1280,768x1280,0.0384953
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_720x1280.jpg,768x1280,720x1280,0.0381457
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_640x480.jpg,768x1280,640x480,0.0332451
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_480x800.jpg,768x1280,480x800,0.0362542
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_400x240.jpg,768x1280,400x240,0.037635
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_320x240.jpg,768x1280,320x240,0.0370298
2019-07-23_Skywalk_ZH-CN3725661090_768x1280.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_1920x1080.jpg,768x1280,1920x1080,0.0973858
